date,store,dept,sales,store_id,item_category
2020-01-01,1,1,843,2,Clothing
2020-01-02,2,2,896,8,Electronics
2020-01-03,1,3,370,1,Electronics
2020-01-04,2,4,347,3,Electronics
2020-01-05,1,1,484,8,Electronics
2020-01-06,2,2,844,3,Electronics
2020-01-07,1,3,943,5,Clothing
2020-01-08,2,4,445,4,Electronics
2020-01-09,1,1,416,7,Electronics
2020-01-10,2,2,300,4,Electronics
2020-01-11,1,3,443,2,Electronics
2020-01-12,2,4,531,7,Food
2020-01-13,1,1,469,5,Food
2020-01-14,2,2,381,5,Electronics
2020-01-15,1,3,860,8,Clothing
2020-01-16,2,4,630,3,Electronics
2020-01-17,1,1,592,8,Clothing
2020-01-18,2,2,829,6,Food
2020-01-19,1,3,608,1,Electronics
2020-01-20,2,4,949,7,Electronics
2020-01-21,1,1,201,7,Electronics
2020-01-22,2,2,687,9,Clothing
2020-01-23,1,3,340,5,Electronics
2020-01-24,2,4,928,8,Food
2020-01-25,1,1,303,7,Food
2020-01-26,2,2,458,6,Clothing
2020-01-27,1,3,290,8,Electronics
2020-01-28,2,4,684,6,Electronics
2020-01-29,1,1,855,4,Electronics
2020-01-30,2,2,717,7,Electronics
2020-01-31,1,3,730,1,Food
2020-02-01,2,4,927,7,Electronics
2020-02-02,1,1,251,6,Electronics
2020-02-03,2,2,763,3,Electronics
2020-02-04,1,3,152,8,Food
2020-02-05,2,4,448,9,Food
2020-02-06,1,1,420,8,Clothing
2020-02-07,2,2,830,5,Electronics
2020-02-08,1,3,265,3,Clothing
2020-02-09,2,4,937,9,Clothing
2020-02-10,1,1,168,4,Food
2020-02-11,2,2,205,2,Food
2020-02-12,1,3,631,2,Food
2020-02-13,2,4,755,4,Electronics
2020-02-14,1,1,963,6,Clothing
2020-02-15,2,2,838,9,Electronics
2020-02-16,1,3,806,4,Electronics
2020-02-17,2,4,729,4,Electronics
2020-02-18,1,1,323,6,Clothing
2020-02-19,2,2,173,7,Electronics
2020-02-20,1,3,886,6,Electronics
2020-02-21,2,4,337,1,Electronics
2020-02-22,1,1,482,7,Food
2020-02-23,2,2,195,1,Food
2020-02-24,1,3,754,7,Food
2020-02-25,2,4,238,2,Electronics
2020-02-26,1,1,609,1,Clothing
2020-02-27,2,2,852,1,Food
2020-02-28,1,3,234,3,Clothing
2020-02-29,2,4,210,6,Food
2020-03-01,1,1,876,3,Electronics
2020-03-02,2,2,795,8,Electronics
2020-03-03,1,3,159,8,Electronics
2020-03-04,2,4,964,2,Food
2020-03-05,1,1,111,6,Electronics
2020-03-06,2,2,110,6,Electronics
2020-03-07,1,3,974,5,Electronics
2020-03-08,2,4,743,1,Clothing
2020-03-09,1,1,702,2,Clothing
2020-03-10,2,2,664,1,Electronics
2020-03-11,1,3,285,3,Electronics
2020-03-12,2,4,491,4,Clothing
2020-03-13,1,1,808,5,Clothing
2020-03-14,2,2,332,1,Food
2020-03-15,1,3,350,8,Clothing
2020-03-16,2,4,181,1,Clothing
2020-03-17,1,1,862,9,Clothing
2020-03-18,2,2,746,4,Electronics
2020-03-19,1,3,822,7,Clothing
2020-03-20,2,4,493,5,Electronics
2020-03-21,1,1,285,3,Electronics
2020-03-22,2,2,343,4,Electronics
2020-03-23,1,3,604,1,Clothing
2020-03-24,2,4,711,6,Clothing
2020-03-25,1,1,559,1,Electronics
2020-03-26,2,2,891,2,Clothing
2020-03-27,1,3,695,9,Food
