date,store,dept,sales,store_id
2020-01-01,1,1,812,4
2020-01-02,2,2,835,9
2020-01-03,1,3,671,6
2020-01-04,2,4,538,3
2020-01-05,1,1,162,5
2020-01-06,2,2,701,1
2020-01-07,1,3,366,7
2020-01-08,2,4,605,5
2020-01-09,1,1,755,9
2020-01-10,2,2,520,7
2020-01-11,1,3,310,6
2020-01-12,2,4,917,7
2020-01-13,1,1,940,6
2020-01-14,2,2,735,6
2020-01-15,1,3,305,7
2020-01-16,2,4,120,1
2020-01-17,1,1,999,8
2020-01-18,2,2,901,7
2020-01-19,1,3,929,4
2020-01-20,2,4,297,3
2020-01-21,1,1,144,4
2020-01-22,2,2,469,7
2020-01-23,1,3,710,9
2020-01-24,2,4,713,7
2020-01-25,1,1,959,9
2020-01-26,2,2,969,3
2020-01-27,1,3,885,8
2020-01-28,2,4,636,7
2020-01-29,1,1,448,9
2020-01-30,2,2,828,2
2020-01-31,1,3,976,5
2020-02-01,2,4,406,2
2020-02-02,1,1,751,9
2020-02-03,2,2,588,7
2020-02-04,1,3,763,5
2020-02-05,2,4,381,4
2020-02-06,1,1,480,9
2020-02-07,2,2,575,3
2020-02-08,1,3,934,7
2020-02-09,2,4,752,9
2020-02-10,1,1,471,2
2020-02-11,2,2,616,7
2020-02-12,1,3,307,4
2020-02-13,2,4,578,1
2020-02-14,1,1,456,2
2020-02-15,2,2,993,4
2020-02-16,1,3,576,7
2020-02-17,2,4,171,5
2020-02-18,1,1,347,1
2020-02-19,2,2,890,6
2020-02-20,1,3,480,2
2020-02-21,2,4,716,8
2020-02-22,1,1,562,2
2020-02-23,2,2,794,3
2020-02-24,1,3,174,5
2020-02-25,2,4,152,9
2020-02-26,1,1,861,9
2020-02-27,2,2,770,1
2020-02-28,1,3,880,7
2020-02-29,2,4,889,7
2020-03-01,1,1,922,2
2020-03-02,2,2,342,3
2020-03-03,1,3,495,1
2020-03-04,2,4,744,2
2020-03-05,1,1,260,7
2020-03-06,2,2,307,9
2020-03-07,1,3,815,8
2020-03-08,2,4,835,4
2020-03-09,1,1,420,4
2020-03-10,2,2,219,6
2020-03-11,1,3,323,1
2020-03-12,2,4,217,1
2020-03-13,1,1,969,6
2020-03-14,2,2,272,9
2020-03-15,1,3,301,3
2020-03-16,2,4,919,7
2020-03-17,1,1,264,8
2020-03-18,2,2,207,1
2020-03-19,1,3,245,7
2020-03-20,2,4,256,7
2020-03-21,1,1,889,6
2020-03-22,2,2,178,1
2020-03-23,1,3,829,8
2020-03-24,2,4,763,4
2020-03-25,1,1,798,5
2020-03-26,2,2,845,2
2020-03-27,1,3,340,1
2020-03-28,2,4,424,9
2020-03-29,1,1,728,3
2020-03-30,2,2,247,8
2020-03-31,1,3,325,7
2020-04-01,2,4,357,2
2020-04-02,1,1,537,3
2020-04-03,2,2,268,9
2020-04-04,1,3,725,7
2020-04-05,2,4,497,4
2020-04-06,1,1,537,8
2020-04-07,2,2,788,7
2020-04-08,1,3,167,4
2020-04-09,2,4,962,1
2020-04-10,1,1,448,4
2020-04-11,2,2,975,4
2020-04-12,1,3,739,5
2020-04-13,2,4,805,7
2020-04-14,1,1,515,3
2020-04-15,2,2,979,4
2020-04-16,1,3,248,9
2020-04-17,2,4,612,1
2020-04-18,1,1,793,7
2020-04-19,2,2,110,9
2020-04-20,1,3,210,9
2020-04-21,2,4,338,4
2020-04-22,1,1,720,6
2020-04-23,2,2,268,7
2020-04-24,1,3,826,4
2020-04-25,2,4,378,4
2020-04-26,1,1,600,2
2020-04-27,2,2,711,6
2020-04-28,1,3,216,8
2020-04-29,2,4,428,9
2020-04-30,1,1,551,5
2020-05-01,2,2,917,7
2020-05-02,1,3,466,6
2020-05-03,2,4,642,5
2020-05-04,1,1,117,5
2020-05-05,2,2,164,1
2020-05-06,1,3,452,6
2020-05-07,2,4,977,6
2020-05-08,1,1,451,6
2020-05-09,2,2,225,4
2020-05-10,1,3,622,8
2020-05-11,2,4,508,4
2020-05-12,1,1,835,1
2020-05-13,2,2,311,6
2020-05-14,1,3,464,8
2020-05-15,2,4,239,2
2020-05-16,1,1,376,2
2020-05-17,2,2,873,2
2020-05-18,1,3,773,4
2020-05-19,2,4,560,7
2020-05-20,1,1,259,2
2020-05-21,2,2,169,3
2020-05-22,1,3,326,5
2020-05-23,2,4,604,6
2020-05-24,1,1,929,7
2020-05-25,2,2,149,3
2020-05-26,1,3,322,2
2020-05-27,2,4,503,5
2020-05-28,1,1,250,2
2020-05-29,2,2,180,5
2020-05-30,1,3,287,2
2020-05-31,2,4,291,6
2020-06-01,1,1,902,3
2020-06-02,2,2,653,9
2020-06-03,1,3,951,3
2020-06-04,2,4,459,6
2020-06-05,1,1,206,5
2020-06-06,2,2,578,6
2020-06-07,1,3,278,7
2020-06-08,2,4,610,6
2020-06-09,1,1,765,4
2020-06-10,2,2,324,3
2020-06-11,1,3,689,5
2020-06-12,2,4,439,8
2020-06-13,1,1,186,1
2020-06-14,2,2,467,9
2020-06-15,1,3,429,5
2020-06-16,2,4,350,8
2020-06-17,1,1,319,6
2020-06-18,2,2,470,6
2020-06-19,1,3,720,9
2020-06-20,2,4,236,7
2020-06-21,1,1,925,2
2020-06-22,2,2,182,4
2020-06-23,1,3,694,4
2020-06-24,2,4,746,4
2020-06-25,1,1,263,4
2020-06-26,2,2,981,7
2020-06-27,1,3,446,3
2020-06-28,2,4,545,4
2020-06-29,1,1,501,2
2020-06-30,2,2,558,9
2020-07-01,1,3,435,9
2020-07-02,2,4,858,3
2020-07-03,1,1,175,5
2020-07-04,2,2,540,4
2020-07-05,1,3,833,6
2020-07-06,2,4,493,8
2020-07-07,1,1,791,6
2020-07-08,2,2,109,1
2020-07-09,1,3,990,2
2020-07-10,2,4,310,5
2020-07-11,1,1,172,7
2020-07-12,2,2,611,3
2020-07-13,1,3,727,1
2020-07-14,2,4,656,4
2020-07-15,1,1,336,3
2020-07-16,2,2,165,6
2020-07-17,1,3,389,4
2020-07-18,2,4,564,7
2020-07-19,1,1,855,9
2020-07-20,2,2,294,7
2020-07-21,1,3,934,1
2020-07-22,2,4,619,1
2020-07-23,1,1,107,3
2020-07-24,2,2,254,8
2020-07-25,1,3,307,2
2020-07-26,2,4,411,3
2020-07-27,1,1,535,5
2020-07-28,2,2,431,9
2020-07-29,1,3,592,4
2020-07-30,2,4,415,9
2020-07-31,1,1,490,8
2020-08-01,2,2,344,1
2020-08-02,1,3,475,7
2020-08-03,2,4,157,7
2020-08-04,1,1,591,3
2020-08-05,2,2,383,8
2020-08-06,1,3,263,2
2020-08-07,2,4,187,5
2020-08-08,1,1,580,4
2020-08-09,2,2,136,7
2020-08-10,1,3,746,9
2020-08-11,2,4,377,4
2020-08-12,1,1,288,5
2020-08-13,2,2,106,9
2020-08-14,1,3,889,4
