date,store,dept,weekly_sales
2020-01-01,1,1,2398
2020-01-02,2,2,2261
2020-01-03,1,3,3685
2020-01-04,2,4,1824
2020-01-05,1,1,2798
2020-01-06,2,2,3671
2020-01-07,1,3,2249
2020-01-08,2,4,4083
2020-01-09,1,1,2166
2020-01-10,2,2,1297
2020-01-11,1,3,4112
2020-01-12,2,4,1208
2020-01-13,1,1,1527
2020-01-14,2,2,1040
2020-01-15,1,3,3187
2020-01-16,2,4,1853
2020-01-17,1,1,4436
2020-01-18,2,2,2886
2020-01-19,1,3,2385
2020-01-20,2,4,1163
2020-01-21,1,1,2586
2020-01-22,2,2,2921
2020-01-23,1,3,1303
2020-01-24,2,4,3401
2020-01-25,1,1,3756
2020-01-26,2,2,2886
2020-01-27,1,3,4882
2020-01-28,2,4,3177
2020-01-29,1,1,1609
2020-01-30,2,2,3501
2020-01-31,1,3,1022
2020-02-01,2,4,3042
2020-02-02,1,1,2875
2020-02-03,2,2,3683
2020-02-04,1,3,4967
2020-02-05,2,4,1588
2020-02-06,1,1,1833
2020-02-07,2,2,1644
2020-02-08,1,3,1977
2020-02-09,2,4,3264
2020-02-10,1,1,2572
2020-02-11,2,2,4111
2020-02-12,1,3,4533
2020-02-13,2,4,2332
2020-02-14,1,1,3713
2020-02-15,2,2,3395
2020-02-16,1,3,3558
2020-02-17,2,4,1299
2020-02-18,1,1,4962
2020-02-19,2,2,2630
2020-02-20,1,3,2292
2020-02-21,2,4,4381
2020-02-22,1,1,3861
2020-02-23,2,2,2564
2020-02-24,1,3,4840
2020-02-25,2,4,3686
2020-02-26,1,1,3252
2020-02-27,2,2,2255
2020-02-28,1,3,2946
2020-02-29,2,4,3437
2020-03-01,1,1,2043
2020-03-02,2,2,3646
2020-03-03,1,3,4644
2020-03-04,2,4,2369
2020-03-05,1,1,3386
2020-03-06,2,2,4585
2020-03-07,1,3,2296
2020-03-08,2,4,2090
2020-03-09,1,1,4445
2020-03-10,2,2,2075
2020-03-11,1,3,3614
2020-03-12,2,4,4422
2020-03-13,1,1,3541
