date,store,dept,sales
2020-01-01,1,1,299
2020-01-02,2,2,713
2020-01-03,1,3,133
2020-01-04,2,4,639
2020-01-05,1,1,758
2020-01-06,2,2,271
2020-01-07,1,3,662
2020-01-08,2,4,565
2020-01-09,1,1,989
2020-01-10,2,2,918
2020-01-11,1,3,134
2020-01-12,2,4,866
2020-01-13,1,1,677
2020-01-14,2,2,429
2020-01-15,1,3,871
2020-01-16,2,4,315
2020-01-17,1,1,190
2020-01-18,2,2,155
2020-01-19,1,3,723
2020-01-20,2,4,312
2020-01-21,1,1,114
2020-01-22,2,2,640
2020-01-23,1,3,269
2020-01-24,2,4,784
2020-01-25,1,1,972
2020-01-26,2,2,877
2020-01-27,1,3,750
2020-01-28,2,4,831
2020-01-29,1,1,120
2020-01-30,2,2,960
2020-01-31,1,3,875
2020-02-01,2,4,832
2020-02-02,1,1,334
2020-02-03,2,2,338
2020-02-04,1,3,340
2020-02-05,2,4,963
2020-02-06,1,1,500
2020-02-07,2,2,804
2020-02-08,1,3,756
2020-02-09,2,4,912
2020-02-10,1,1,485
2020-02-11,2,2,806
2020-02-12,1,3,725
2020-02-13,2,4,629
2020-02-14,1,1,566
2020-02-15,2,2,527
2020-02-16,1,3,632
2020-02-17,2,4,281
2020-02-18,1,1,386
2020-02-19,2,2,791
2020-02-20,1,3,288
2020-02-21,2,4,812
2020-02-22,1,1,427
2020-02-23,2,2,317
2020-02-24,1,3,583
2020-02-25,2,4,361
2020-02-26,1,1,643
2020-02-27,2,2,617
2020-02-28,1,3,734
2020-02-29,2,4,301
2020-03-01,1,1,559
2020-03-02,2,2,662
2020-03-03,1,3,293
2020-03-04,2,4,141
2020-03-05,1,1,610
2020-03-06,2,2,475
2020-03-07,1,3,179
2020-03-08,2,4,537
2020-03-09,1,1,319
2020-03-10,2,2,993
2020-03-11,1,3,434
2020-03-12,2,4,689
2020-03-13,1,1,464
2020-03-14,2,2,241
2020-03-15,1,3,530
2020-03-16,2,4,750
2020-03-17,1,1,112
2020-03-18,2,2,432
2020-03-19,1,3,583
2020-03-20,2,4,407
2020-03-21,1,1,446
2020-03-22,2,2,623
2020-03-23,1,3,676
2020-03-24,2,4,136
2020-03-25,1,1,789
2020-03-26,2,2,448
2020-03-27,1,3,358
2020-03-28,2,4,524
2020-03-29,1,1,588
2020-03-30,2,2,872
2020-03-31,1,3,635
2020-04-01,2,4,264
2020-04-02,1,1,179
2020-04-03,2,2,638
2020-04-04,1,3,766
2020-04-05,2,4,870
2020-04-06,1,1,161
2020-04-07,2,2,995
2020-04-08,1,3,899
2020-04-09,2,4,781
2020-04-10,1,1,143
2020-04-11,2,2,984
2020-04-12,1,3,750
2020-04-13,2,4,101
2020-04-14,1,1,319
2020-04-15,2,2,555
2020-04-16,1,3,839
2020-04-17,2,4,421
2020-04-18,1,1,646
2020-04-19,2,2,396
2020-04-20,1,3,206
2020-04-21,2,4,372
2020-04-22,1,1,889
2020-04-23,2,2,550
2020-04-24,1,3,890
2020-04-25,2,4,191
2020-04-26,1,1,251
2020-04-27,2,2,768
2020-04-28,1,3,934
2020-04-29,2,4,824
2020-04-30,1,1,897
2020-05-01,2,2,535
2020-05-02,1,3,957
2020-05-03,2,4,746
2020-05-04,1,1,863
2020-05-05,2,2,387
2020-05-06,1,3,602
2020-05-07,2,4,810
2020-05-08,1,1,432
2020-05-09,2,2,678
2020-05-10,1,3,187
2020-05-11,2,4,160
2020-05-12,1,1,742
2020-05-13,2,2,342
2020-05-14,1,3,722
2020-05-15,2,4,938
2020-05-16,1,1,546
2020-05-17,2,2,318
2020-05-18,1,3,239
2020-05-19,2,4,924
2020-05-20,1,1,153
2020-05-21,2,2,579
2020-05-22,1,3,180
2020-05-23,2,4,595
2020-05-24,1,1,815
2020-05-25,2,2,355
2020-05-26,1,3,339
2020-05-27,2,4,694
2020-05-28,1,1,481
2020-05-29,2,2,924
2020-05-30,1,3,417
2020-05-31,2,4,743
2020-06-01,1,1,403
2020-06-02,2,2,202
2020-06-03,1,3,399
2020-06-04,2,4,684
2020-06-05,1,1,797
2020-06-06,2,2,447
2020-06-07,1,3,953
2020-06-08,2,4,733
2020-06-09,1,1,189
2020-06-10,2,2,434
2020-06-11,1,3,877
2020-06-12,2,4,657
2020-06-13,1,1,495
2020-06-14,2,2,628
2020-06-15,1,3,196
2020-06-16,2,4,962
2020-06-17,1,1,678
2020-06-18,2,2,940
2020-06-19,1,3,273
2020-06-20,2,4,417
2020-06-21,1,1,731
2020-06-22,2,2,458
2020-06-23,1,3,673
2020-06-24,2,4,942
2020-06-25,1,1,672
2020-06-26,2,2,440
2020-06-27,1,3,510
2020-06-28,2,4,570
2020-06-29,1,1,121
2020-06-30,2,2,779
2020-07-01,1,3,331
2020-07-02,2,4,278
2020-07-03,1,1,689
2020-07-04,2,2,637
2020-07-05,1,3,990
2020-07-06,2,4,787
2020-07-07,1,1,633
2020-07-08,2,2,127
2020-07-09,1,3,625
2020-07-10,2,4,632
2020-07-11,1,1,183
2020-07-12,2,2,759
2020-07-13,1,3,611
2020-07-14,2,4,232
2020-07-15,1,1,387
2020-07-16,2,2,314
2020-07-17,1,3,433
2020-07-18,2,4,899
2020-07-19,1,1,654
2020-07-20,2,2,525
2020-07-21,1,3,891
2020-07-22,2,4,373
2020-07-23,1,1,444
2020-07-24,2,2,124
2020-07-25,1,3,827
2020-07-26,2,4,696
2020-07-27,1,1,106
2020-07-28,2,2,419
2020-07-29,1,3,425
2020-07-30,2,4,283
2020-07-31,1,1,953
2020-08-01,2,2,515
2020-08-02,1,3,269
2020-08-03,2,4,853
2020-08-04,1,1,738
2020-08-05,2,2,431
2020-08-06,1,3,995
2020-08-07,2,4,655
2020-08-08,1,1,475
2020-08-09,2,2,273
2020-08-10,1,3,484
2020-08-11,2,4,780
2020-08-12,1,1,247
2020-08-13,2,2,128
2020-08-14,1,3,696
2020-08-15,2,4,642
2020-08-16,1,1,125
2020-08-17,2,2,927
2020-08-18,1,3,961
2020-08-19,2,4,965
2020-08-20,1,1,394
2020-08-21,2,2,543
2020-08-22,1,3,837
2020-08-23,2,4,543
2020-08-24,1,1,909
2020-08-25,2,2,225
2020-08-26,1,3,655
2020-08-27,2,4,215
2020-08-28,1,1,606
2020-08-29,2,2,641
2020-08-30,1,3,794
2020-08-31,2,4,373
2020-09-01,1,1,979
2020-09-02,2,2,286
2020-09-03,1,3,869
2020-09-04,2,4,642
2020-09-05,1,1,554
2020-09-06,2,2,556
2020-09-07,1,3,686
2020-09-08,2,4,565
2020-09-09,1,1,689
2020-09-10,2,2,947
2020-09-11,1,3,780
2020-09-12,2,4,321
2020-09-13,1,1,309
2020-09-14,2,2,165
2020-09-15,1,3,684
2020-09-16,2,4,416
2020-09-17,1,1,515
2020-09-18,2,2,871
2020-09-19,1,3,529
2020-09-20,2,4,415
2020-09-21,1,1,622
2020-09-22,2,2,837
2020-09-23,1,3,400
2020-09-24,2,4,749
2020-09-25,1,1,220
2020-09-26,2,2,392
2020-09-27,1,3,840
2020-09-28,2,4,313
2020-09-29,1,1,960
2020-09-30,2,2,663
2020-10-01,1,3,608
2020-10-02,2,4,764
2020-10-03,1,1,322
2020-10-04,2,2,644
2020-10-05,1,3,687
2020-10-06,2,4,133
2020-10-07,1,1,647
2020-10-08,2,2,458
2020-10-09,1,3,915
2020-10-10,2,4,717
2020-10-11,1,1,490
2020-10-12,2,2,728
2020-10-13,1,3,881
2020-10-14,2,4,324
2020-10-15,1,1,621
2020-10-16,2,2,107
2020-10-17,1,3,736
2020-10-18,2,4,335
2020-10-19,1,1,102
2020-10-20,2,2,730
2020-10-21,1,3,490
2020-10-22,2,4,914
2020-10-23,1,1,454
2020-10-24,2,2,851
2020-10-25,1,3,657
2020-10-26,2,4,769
2020-10-27,1,1,639
2020-10-28,2,2,984
2020-10-29,1,3,825
2020-10-30,2,4,381
2020-10-31,1,1,907
2020-11-01,2,2,996
2020-11-02,1,3,571
2020-11-03,2,4,783
2020-11-04,1,1,757
2020-11-05,2,2,200
2020-11-06,1,3,796
2020-11-07,2,4,826
2020-11-08,1,1,298
